Instante,CargaEnergiaGWh,CargaEnergiaMWMed,IdSubSistema
"1997-01-08T22:00:00",54.9228,2288.45,"N  "
"1997-01-08T22:00:00",126.69096,5278.79,"NE "
"1997-01-08T22:00:00",143.13912,5964.13,"S  "
"1997-01-08T22:00:00",572.3013,23845.8875,"SE "
"1997-01-09T22:00:00",66.78096,2782.54,"N  "
"1997-01-09T22:00:00",122.01312,5083.88,"NE "
"1997-01-09T22:00:00",139.57512,5815.63,"S  "
"1997-01-09T22:00:00",574.8853,23953.55416667,"SE "
"1997-01-10T22:00:00",53.86608,2244.42,"N  "
"1997-01-10T22:00:00",119.75088,4989.62,"NE "
"1997-01-10T22:00:00",124.77288,5198.87,"S  "
"1997-01-10T22:00:00",511.9168,21329.86666667,"SE "
"1997-01-11T22:00:00",61.16448,2548.52,"N  "
"1997-01-11T22:00:00",99.74016,4155.84,"NE "
"1997-01-11T22:00:00",110.75976,4614.99,"S  "
"1997-01-11T22:00:00",453.0621,18877.5875,"SE "
"1997-01-12T22:00:00",66.41544,2767.31,"N  "
"1997-01-12T22:00:00",118.46832,4936.18,"NE "
"1997-01-12T22:00:00",144.00624,6000.26,"S  "
"1997-01-12T22:00:00",563.0081,23458.67083333,"SE "
"1997-01-13T22:00:00",55.6212,2317.55,"N  "
"1997-01-13T22:00:00",129.56472,5398.53,"NE "
"1997-01-13T22:00:00",146.50632,6104.43,"S  "
"1997-01-13T22:00:00",589.0495,24543.72916667,"SE "
"1997-01-14T22:00:00",55.58856,2316.19,"N  "
"1997-01-14T22:00:00",129.86088,5410.87,"NE "
"1997-01-14T22:00:00",145.89096,6078.79,"S  "
"1997-01-14T22:00:00",592.7434,24697.64166667,"SE "
"1997-01-15T22:00:00",55.72704,2321.96,"N  "
"1997-01-15T22:00:00",126.51888,5271.62,"NE "
"1997-01-15T22:00:00",147.40584,6141.91,"S  "
"1997-01-15T22:00:00",591.0936,24628.9,"SE "
"1997-01-16T22:00:00",56.61768,2359.07,"N  "
"1997-01-16T22:00:00",129.49128,5395.47,"NE "
"1997-01-16T22:00:00",151.94688,6331.12,"S  "
"1997-01-16T22:00:00",582.0643,24252.67916667,"SE "
"1997-01-17T22:00:00",54.58896,2274.54,"N  "
"1997-01-17T22:00:00",121.4676,5061.15,"NE "
"1997-01-17T22:00:00",128.57064,5357.11,"S  "
"1997-01-17T22:00:00",510.316,21263.16666667,"SE "
"1997-01-18T22:00:00",53.22864,2217.86,"N  "
"1997-01-18T22:00:00",98.27688,4094.87,"NE "
"1997-01-18T22:00:00",104.5908,4357.95,"S  "
"1997-01-18T22:00:00",453.7125,18904.6875,"SE "
"1997-01-19T22:00:00",54.83208,2284.67,"N  "
"1997-01-19T22:00:00",128.03544,5334.81,"NE "
"1997-01-19T22:00:00",140.14032,5839.18,"S  "
"1997-01-19T22:00:00",557.3593,23223.30416667,"SE "
"1997-01-20T22:00:00",55.36824,2307.01,"N  "
"1997-01-20T22:00:00",130.386,5432.75,"NE "
"1997-01-20T22:00:00",143.394,5974.75,"S  "
"1997-01-20T22:00:00",595.639,24818.29166667,"SE "
"1997-01-21T22:00:00",54.24528,2260.22,"N  "
"1997-01-21T22:00:00",138.7356,5780.65,"NE "
"1997-01-21T22:00:00",144.33096,6013.79,"S  "
"1997-01-21T22:00:00",594.8532,24785.55,"SE "
"1997-01-22T22:00:00",53.81712,2242.38,"N  "
"1997-01-22T22:00:00",133.26096,5552.54,"NE "
"1997-01-22T22:00:00",144.05568,6002.32,"S  "
"1997-01-22T22:00:00",592.4785,24686.60416667,"SE "
"1997-01-23T22:00:00",57.25536,2385.64,"N  "
"1997-01-23T22:00:00",124.33632,5180.68,"NE "
"1997-01-23T22:00:00",150.27336,6261.39,"S  "
"1997-01-23T22:00:00",589.2589,24552.45416667,"SE "
"1997-01-24T22:00:00",117.96432,4915.18,"NE "
"1997-01-24T22:00:00",129.35184,5389.66,"S  "
"1997-01-24T22:00:00",518.5134,21604.725,"SE "
"1997-01-25T22:00:00",52.95912,2206.63,"N  "
"1997-01-25T22:00:00",101.29728,4220.72,"NE "
"1997-01-25T22:00:00",111.36672,4640.28,"S  "
"1997-01-25T22:00:00",462.6711,19277.9625,"SE "
"1997-01-26T22:00:00",56.226,2342.75,"N  "
"1997-01-26T22:00:00",115.92408,4830.17,"NE "
"1997-01-26T22:00:00",145.02672,6042.78,"S  "
"1997-01-26T22:00:00",568.2841,23678.50416667,"SE "
"1997-01-27T22:00:00",55.33608,2305.67,"N  "
"1997-01-27T22:00:00",126.54288,5272.62,"NE "
"1997-01-27T22:00:00",152.22192,6342.58,"S  "
"1997-01-27T22:00:00",583.6731,24319.7125,"SE "
"1997-01-28T22:00:00",55.54464,2314.36,"N  "
"1997-01-28T22:00:00",127.50336,5312.64,"NE "
"1997-01-28T22:00:00",153.96288,6415.12,"S  "
"1997-01-28T22:00:00",582.8856,24286.9,"SE "
"1997-01-29T22:00:00",49.48128,2061.72,"N  "
